user_id,date,challenge_id,completed_flag,completion_quality_0_5,perceived_helpfulness_0_10
U000014,2025-09-04,C00009,0.0,3.0,9.0
U000011,2025-09-15,C00006,0.0,,2.0
U000030,2025-09-27,C00014,0.0,,
U000030,2025-09-28,C00014,1.0,,
U000021,2025-10-10,C00012,0.0,2.0,6.0
U000104,2025-09-25,C00029,0.0,3.0,5.0
U000093,2025-09-21,C00007,,5.0,6.0
U000104,2025-10-03,C00029,1.0,,6.0
U000097,2025-10-05,C00020,0.0,3.0,
U000104,2025-10-04,C00029,0.0,,
U000077,2025-10-01,C00019,0.0,,
U000085,2025-09-10,C00011,0.0,,
U000055,2025-10-06,C00030,1.0,5.0,7.0
U000014,2025-09-08,C00009,0.0,,
U000104,2025-09-29,C00029,1.0,3.0,
U000085,2025-09-13,C00011,0.0,2.0,2.0
U000016,2025-10-09,C00024,0.0,2.0,7.0
U000097,2025-10-06,C00020,,3.0,
U000016,2025-10-11,C00024,1.0,3.0,8.0
U000093,2025-09-26,C00007,0.0,,5.0
U000055,2025-10-14,C00030,1.0,3.0,
U000039,2025-09-22,C00015,1.0,5.0,
U000043,2025-10-11,C00002,1.0,3.0,6.0
U000001,2025-10-18,C00021,1.0,4.0,4.0
U000043,2025-10-12,C00002,,5.0,4.0
U000097,2025-10-07,C00020,,5.0,7.0
U000022,2025-09-13,C00023,,1.0,
U000012,2025-10-11,C00004,0.0,4.0,5.0
U000008,2025-09-13,C00005,0.0,4.0,
U000097,2025-10-09,C00020,1.0,,8.0
U000022,2025-09-20,C00023,0.0,3.0,
U000104,2025-09-27,C00029,1.0,3.0,
U000085,2025-09-09,C00011,1.0,3.0,
U000052,2025-09-29,C00003,0.0,4.0,4.0
U000097,2025-10-02,C00020,,5.0,6.0
U000100,2025-10-14,C00026,1.0,4.0,7.0
U000022,2025-09-15,C00023,1.0,5.0,9.0
U000039,2025-09-20,C00015,0.0,3.0,
U000014,2025-09-06,C00009,,,4.0
U000022,2025-09-16,C00023,0.0,5.0,
U000042,2025-09-13,C00027,0.0,,
U000070,2025-09-30,C00008,0.0,,
U000051,2025-09-15,C00022,,,8.0
U000021,2025-10-08,C00012,0.0,3.0,
U000021,2025-10-12,C00012,1.0,4.0,6.0
U000043,2025-10-05,C00002,1.0,,
U000014,2025-09-07,C00009,0.0,2.0,
U000002,2025-10-07,C00010,1.0,,
U000038,2025-09-26,C00025,,4.0,
U000085,2025-09-18,C00011,1.0,3.0,
U000016,2025-10-06,C00024,0.0,3.0,6.0
U000030,2025-09-24,C00014,0.0,2.0,7.0
U000093,2025-09-29,C00007,1.0,,5.0
U000093,2025-09-27,C00007,0.0,3.0,
U000002,2025-09-29,C00010,0.0,1.0,
U000012,2025-10-13,C00004,1.0,3.0,
U000042,2025-09-17,C00027,0.0,2.0,
U000072,2025-09-10,C00001,1.0,2.0,
U000089,2025-10-04,C00028,1.0,,
U000038,2025-09-25,C00025,,3.0,8.0
U000100,2025-10-16,C00026,1.0,4.0,7.0
U000002,2025-10-02,C00010,0.0,4.0,8.0
U000021,2025-10-11,C00012,1.0,3.0,10.0
U000011,2025-09-22,C00006,0.0,3.0,9.0
U000072,2025-09-16,C00001,1.0,,
U000077,2025-10-02,C00019,1.0,,
U000012,2025-10-08,C00004,1.0,,
U000022,2025-09-22,C00023,0.0,5.0,3.0
U000043,2025-10-04,C00002,0.0,2.0,4.0
U000093,2025-09-25,C00007,0.0,,10.0
U000043,2025-10-07,C00002,1.0,,
U000072,2025-09-15,C00001,,2.0,
U000012,2025-10-12,C00004,1.0,3.0,
U000008,2025-09-16,C00005,1.0,4.0,
U000016,2025-10-10,C00024,0.0,,8.0
U000016,2025-10-12,C00024,1.0,3.0,3.0
U000026,2025-09-15,C00018,0.0,3.0,
U000002,2025-10-03,C00010,1.0,4.0,
U000097,2025-10-03,C00020,0.0,3.0,
U000043,2025-10-08,C00002,1.0,,10.0
U000011,2025-09-23,C00006,0.0,3.0,
U000051,2025-09-09,C00022,0.0,3.0,
U000026,2025-09-13,C00018,1.0,4.0,8.0
U000021,2025-10-13,C00012,1.0,,5.0
U000006,2025-10-02,C00017,0.0,4.0,5.0
U000070,2025-10-06,C00008,1.0,,
U000026,2025-09-19,C00018,1.0,5.0,8.0
U000008,2025-09-14,C00005,0.0,2.0,2.0
U000055,2025-10-12,C00030,1.0,3.0,
U000100,2025-10-09,C00026,0.0,,
U000055,2025-10-10,C00030,1.0,,6.0
U000001,2025-10-16,C00021,0.0,2.0,
U000026,2025-09-17,C00018,0.0,4.0,
U000051,2025-09-11,C00022,0.0,4.0,4.0
U000070,2025-10-05,C00008,1.0,3.0,
U000022,2025-09-18,C00023,0.0,,
U000026,2025-09-18,C00018,,2.0,4.0
U000008,2025-09-20,C00005,0.0,4.0,3.0
U000002,2025-10-06,C00010,1.0,5.0,
U000077,2025-09-30,C00019,0.0,,
U000085,2025-09-14,C00011,0.0,,
U000008,2025-09-21,C00005,,2.0,3.0
U000072,2025-09-13,C00001,1.0,3.0,
U000008,2025-09-15,C00005,1.0,2.0,
U000011,2025-09-19,C00006,0.0,4.0,3.0
U000053,2025-10-14,C00016,0.0,2.0,
U000021,2025-10-05,C00012,0.0,2.0,
U000026,2025-09-11,C00018,1.0,3.0,6.0
U000011,2025-09-17,C00006,1.0,2.0,9.0
U000001,2025-10-12,C00021,0.0,4.0,5.0
U000104,2025-09-28,C00029,0.0,2.0,8.0
U000042,2025-09-11,C00027,0.0,2.0,
U000097,2025-10-08,C00020,,1.0,
U000085,2025-09-17,C00011,0.0,3.0,8.0
U000038,2025-10-01,C00025,0.0,4.0,6.0
U000070,2025-10-08,C00008,0.0,2.0,
U000011,2025-09-20,C00006,0.0,3.0,
U000043,2025-10-09,C00002,1.0,,2.0
U000015,2025-09-26,C00013,0.0,3.0,
U000022,2025-09-19,C00023,0.0,3.0,
U000039,2025-09-17,C00015,0.0,3.0,4.0
U000042,2025-09-10,C00027,0.0,3.0,
U000026,2025-09-16,C00018,1.0,,8.0
U000006,2025-10-04,C00017,1.0,,
U000053,2025-10-15,C00016,,3.0,10.0
U000043,2025-10-06,C00002,1.0,3.0,6.0
U000026,2025-09-20,C00018,0.0,,
U000070,2025-09-29,C00008,0.0,,0.0
U000052,2025-09-27,C00003,1.0,5.0,7.0
U000012,2025-10-09,C00004,1.0,,9.0
U000011,2025-09-21,C00006,1.0,,
U000077,2025-10-05,C00019,,3.0,
U000002,2025-10-04,C00010,0.0,2.0,9.0
U000085,2025-09-11,C00011,0.0,2.0,6.0
U000030,2025-09-25,C00014,1.0,,
U000055,2025-10-05,C00030,0.0,3.0,
U000014,2025-09-09,C00009,0.0,3.0,
U000085,2025-09-12,C00011,1.0,5.0,6.0
U000014,2025-09-05,C00009,0.0,,2.0
U000085,2025-09-15,C00011,1.0,3.0,
U000100,2025-10-15,C00026,1.0,5.0,6.0
U000055,2025-10-09,C00030,0.0,,8.0
U000015,2025-09-28,C00013,1.0,5.0,
U000089,2025-10-02,C00028,0.0,3.0,5.0
U000012,2025-10-10,C00004,0.0,,5.0
U000039,2025-09-23,C00015,1.0,,7.0
U000100,2025-10-12,C00026,0.0,1.0,2.0
U000052,2025-09-30,C00003,0.0,2.0,5.0
U000055,2025-10-13,C00030,0.0,3.0,4.0
U000030,2025-09-30,C00014,,3.0,
